Distribution,Outlier,Num_Cat_Feature,Numerical_Feature,Categorical_Feature,Scaler,estimator,Score,Iteration
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=3, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1860 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1861 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1862 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1863 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1864 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1865 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1866 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1867 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1868 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1869 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1870 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1871 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1872 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1873 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1874 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=4, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1875 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1876 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1877 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1878 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1879 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1880 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1881 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1882 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1883 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1884 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1885 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1886 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1887 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1888 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1889 / 7920 of iteration 3/3]
PowerTransformer(),None,PCA(n_components=1),"SelectKBest(k=5, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1890 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=6, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1891 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=6, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1892 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=6, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1893 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=6, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1894 / 7920 of iteration 3/3]
passthrough,None,PCA(n_components=1),"SelectKBest(k=6, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,StandardScaler(),LinearRegression,-0.055386979645935, [1895 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=6, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,passthrough,LinearRegression,-0.055386979645935, [1896 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=6, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,RobustScaler(),LinearRegression,-0.055386979645935, [1897 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=6, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MinMaxScaler(),LinearRegression,-0.055386979645935, [1898 / 7920 of iteration 3/3]
QuantileTransformer(output_distribution='normal'),None,PCA(n_components=1),"SelectKBest(k=6, score_func=<function r_regression at 0x14e04e8e1cf0>)",passthrough,MaxAbsScaler(),LinearRegression,-0.055386979645935, [1899 / 7920 of iteration 3/3]
