Numerical_Imputer,Categorical_Imputer,Encoding,Scaler,Estimator,Score,Iteration
SimpleImputer(),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),MaxAbsScaler(),LinearRegression,0.3624043015928599, [29 / 50 of iteration 17/20]
SimpleImputer(),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),StandardScaler(),LinearRegression,0.3624043015928596, [30 / 50 of iteration 17/20]
KNNImputer(),passthrough,OneHotEncoder(),passthrough,LinearRegression,0.4125789259110075, [31 / 50 of iteration 17/20]
KNNImputer(),passthrough,OneHotEncoder(),RobustScaler(),LinearRegression,0.4125789259110075, [32 / 50 of iteration 17/20]
KNNImputer(),passthrough,OneHotEncoder(),MinMaxScaler(),LinearRegression,0.4125789259110074, [33 / 50 of iteration 17/20]
KNNImputer(),passthrough,OneHotEncoder(),MaxAbsScaler(),LinearRegression,0.4125789259110075, [34 / 50 of iteration 17/20]
KNNImputer(),passthrough,OneHotEncoder(),StandardScaler(),LinearRegression,0.4125789259110075, [35 / 50 of iteration 17/20]
KNNImputer(),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),passthrough,LinearRegression,0.4125789259110075, [36 / 50 of iteration 17/20]
KNNImputer(),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),RobustScaler(),LinearRegression,0.4125789259110075, [37 / 50 of iteration 17/20]
KNNImputer(),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),MinMaxScaler(),LinearRegression,0.4125789259110074, [38 / 50 of iteration 17/20]
KNNImputer(),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),MaxAbsScaler(),LinearRegression,0.4125789259110075, [39 / 50 of iteration 17/20]
KNNImputer(),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),StandardScaler(),LinearRegression,0.4125789259110075, [40 / 50 of iteration 17/20]
IterativeImputer(random_state=0),passthrough,OneHotEncoder(),passthrough,LinearRegression,0.3903171038674259, [41 / 50 of iteration 17/20]
IterativeImputer(random_state=0),passthrough,OneHotEncoder(),RobustScaler(),LinearRegression,0.390317103867426, [42 / 50 of iteration 17/20]
IterativeImputer(random_state=0),passthrough,OneHotEncoder(),MinMaxScaler(),LinearRegression,0.39031710386742585, [43 / 50 of iteration 17/20]
IterativeImputer(random_state=0),passthrough,OneHotEncoder(),MaxAbsScaler(),LinearRegression,0.3903171038674261, [44 / 50 of iteration 17/20]
IterativeImputer(random_state=0),passthrough,OneHotEncoder(),StandardScaler(),LinearRegression,0.39031710386742596, [45 / 50 of iteration 17/20]
IterativeImputer(random_state=0),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),passthrough,LinearRegression,0.3903171038674259, [46 / 50 of iteration 17/20]
IterativeImputer(random_state=0),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),RobustScaler(),LinearRegression,0.390317103867426, [47 / 50 of iteration 17/20]
IterativeImputer(random_state=0),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),MinMaxScaler(),LinearRegression,0.39031710386742585, [48 / 50 of iteration 17/20]
IterativeImputer(random_state=0),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),MaxAbsScaler(),LinearRegression,0.3903171038674261, [49 / 50 of iteration 17/20]
IterativeImputer(random_state=0),SimpleImputer(strategy='most_frequent'),OneHotEncoder(),StandardScaler(),LinearRegression,0.39031710386742596, [50 / 50 of iteration 17/20]
passthrough,passthrough,OneHotEncoder(),passthrough,LinearRegression,-0.024184864021470708, [1 / 50 of iteration 18/20]
passthrough,passthrough,OneHotEncoder(),RobustScaler(),LinearRegression,-0.024184864021463783, [2 / 50 of iteration 18/20]
passthrough,passthrough,OneHotEncoder(),MinMaxScaler(),LinearRegression,-0.02418486402146458, [3 / 50 of iteration 18/20]
passthrough,passthrough,OneHotEncoder(),MaxAbsScaler(),LinearRegression,-0.024184864021464535, [4 / 50 of iteration 18/20]
passthrough,passthrough,OneHotEncoder(),StandardScaler(),LinearRegression,-0.024184864021470798, [5 / 50 of iteration 18/20]
passthrough,SimpleImputer(strategy='most_frequent'),OneHotEncoder(),passthrough,LinearRegression,-0.024184864021470708, [6 / 50 of iteration 18/20]
passthrough,SimpleImputer(strategy='most_frequent'),OneHotEncoder(),RobustScaler(),LinearRegression,-0.024184864021463783, [7 / 50 of iteration 18/20]
passthrough,SimpleImputer(strategy='most_frequent'),OneHotEncoder(),MinMaxScaler(),LinearRegression,-0.02418486402146458, [8 / 50 of iteration 18/20]
passthrough,SimpleImputer(strategy='most_frequent'),OneHotEncoder(),MaxAbsScaler(),LinearRegression,-0.024184864021464535, [9 / 50 of iteration 18/20]
passthrough,SimpleImputer(strategy='most_frequent'),OneHotEncoder(),StandardScaler(),LinearRegression,-0.024184864021470798, [10 / 50 of iteration 18/20]
